Date,Close,High,Low,Open,Volume
12/04/2021,128.5254364,130.1021357,127.928053,129.7789597,91420000
13/04/2021,131.6494751,131.8747286,129.2011845,129.7006453,91266500
14/04/2021,129.2991333,132.207704,128.936791,132.1489474,87222800
15/04/2021,131.7180176,132.2076756,130.8758051,131.0520898,89347100
16/04/2021,131.3850708,131.8845167,130.5232677,131.5221745,84922400
19/04/2021,132.0509796,132.6679535,130.5820055,130.7484874,94264200
20/04/2021,130.356781,132.7267244,129.0836669,132.2272785,94812300
21/04/2021,130.7387238,130.9835528,128.5842309,129.6223038,68847100
22/04/2021,129.210968,131.3752482,128.6919317,130.2882068,84566500
23/04/2021,131.5417633,132.3252043,129.4264367,129.4264367,78657500
26/04/2021,131.9334412,132.266405,130.7974311,132.0411665,66905100
27/04/2021,131.6102753,132.6091818,131.336068,132.2174464,66015800
28/04/2021,130.8171082,132.2273264,130.3274499,131.5320051,107760100
29/04/2021,130.7191315,134.2348882,129.7104369,133.6472925,151101000
30/04/2021,128.7409058,130.7974607,128.3589731,129.0542792,109839500
03/05/2021,129.7985382,131.2969055,129.1032322,129.3088802,75135100
04/05/2021,125.2055969,128.7703154,124.0793816,128.4765175,137564700
05/05/2021,125.4504089,127.751793,125.3230931,126.5276478,84000900
06/05/2021,127.0564804,127.0662682,124.5004572,125.2447396,78128300
07/05/2021,127.7333679,128.7633846,127.017242,128.3611943,78973300
10/05/2021,124.4372635,127.0760936,124.3980234,126.9485764,88071200
11/05/2021,123.515152,123.8682978,120.434869,121.1509874,126142800
12/05/2021,120.4348602,122.2692947,119.9247541,121.0528822,112172300
13/05/2021,122.5930099,123.7505661,121.8965154,122.2104285,105861300
14/05/2021,125.0258408,125.4574742,123.456275,123.8486683,81918000
17/05/2021,123.868309,124.5157592,122.7892328,124.4078509,74244600
18/05/2021,122.4753113,124.5746072,122.406643,124.1527856,63342900
19/05/2021,122.3183594,122.5439805,120.5231648,120.8174617,92612000
20/05/2021,124.8885117,125.2907169,122.7205476,122.8480798,76857100
21/05/2021,123.0442734,125.5653907,122.8284567,125.3888141,79295400
24/05/2021,124.6825104,125.5065372,123.5445779,123.6132462,63092900
25/05/2021,124.4863129,125.8793096,123.9173429,125.3888123,72009500
26/05/2021,124.4372635,124.9669934,124.015442,124.5451718,56575900
27/05/2021,122.8971329,125.2122455,122.7009399,124.0350729,94625600
28/05/2021,122.2398682,123.4072363,122.1810118,123.1816077,71311100
01/06/2021,121.916153,122.9658009,121.5826235,122.7009397,67637100
02/06/2021,122.6813202,122.8578968,121.6905361,121.9161572,59278900
03/06/2021,121.190239,122.47532,120.7880337,122.3085553,76229200
04/06/2021,123.4955292,123.7603979,121.4943298,121.7101465,75169300
07/06/2021,123.5053406,123.9173502,122.4556926,123.7702018,71057600
08/06/2021,124.3293533,126.0166469,123.8094353,124.1920168,74403800
09/06/2021,124.7119293,125.3201393,124.1135312,124.7904095,56877900
10/06/2021,123.7113342,125.7517735,123.5445695,124.6040217,71186400
11/06/2021,124.9277649,125.016057,123.7015403,124.1233618,53522400
14/06/2021,127.9982452,128.0571016,124.6531079,125.3888428,96906500
15/06/2021,127.1742172,128.1159644,126.9289723,127.4685141,62746300
16/06/2021,127.6744843,128.4004145,126.0166414,127.890301,91815000
17/06/2021,129.2833252,130.0288794,127.184029,127.3311849,96721700
18/06/2021,127.9786072,129.0086238,127.7627905,128.2238521,108953300
21/06/2021,129.7835846,129.8914929,126.7523617,127.8216257,79663300
22/06/2021,131.4316711,131.5297751,129.1165582,129.6168675,74783600
23/06/2021,131.1569672,131.7651847,130.6959056,131.2256429,60214200
24/06/2021,130.8724823,132.0790829,130.4016013,131.8926944,68711000
25/06/2021,130.5782166,131.3433796,130.2839196,130.9215655,70783700
28/06/2021,132.2164307,132.6774923,130.813637,130.8724934,62111300
29/06/2021,133.736969,133.8939293,131.7946333,132.2360712,64556100
30/06/2021,134.355011,134.7964489,133.2857315,133.5800285,63261400
01/07/2021,134.6590729,134.7179293,133.1777841,134.0018183,52485800
02/07/2021,137.2979279,137.3371605,135.1299561,135.2770971,78852600
06/07/2021,139.3187408,140.4272377,137.4058334,137.4058334,108181800
07/07/2021,141.8202515,142.1341572,139.9465765,140.8098285,104911600
08/07/2021,140.5155029,141.3198983,137.9943785,138.8870734,105575500
09/07/2021,142.3499603,142.8796828,139.9367438,140.0348477,99890800
12/07/2021,141.7515564,143.5369465,141.2610666,143.4290381,76299700
13/07/2021,142.8698883,144.6552786,140.8981244,141.2905103,100827100
14/07/2021,146.3131104,146.725135,144.8710691,145.2830937,127050800
15/07/2021,145.6558533,147.1469465,144.2922922,146.4014074,106820300
16/07/2021,143.6056061,146.9115026,143.1053119,145.6362411,93251400
19/07/2021,139.7405548,141.3297521,138.9753918,141.0158314,121434600
20/07/2021,143.3701782,144.3021209,140.2408655,140.7313554,96350000
21/07/2021,142.6344452,143.3505712,141.8791016,142.7619773,74993500
22/07/2021,144.0078125,145.381178,143.0366373,143.1641694,77338200
23/07/2021,145.7343445,145.8913048,144.1255383,144.7435604,71447400
26/07/2021,146.1561279,146.980147,144.8906561,145.4498216,72434100
27/07/2021,143.9784088,146.3720019,142.7816123,146.2837024,104818600
28/07/2021,142.2224579,144.1746132,139.8288646,142.0556931,118931200
29/07/2021,142.8698883,143.7625835,141.8300522,141.9379605,56699500
30/07/2021,143.0856628,143.5467244,141.3689488,141.6338175,70440600
02/08/2021,142.7521515,144.1549451,142.4872828,143.5761707,62880000
03/08/2021,144.5571899,145.224249,142.4186461,143.0366682,64786600
04/08/2021,144.1549835,144.979003,143.4977288,144.4689043,56368300
05/08/2021,144.2628632,145.0280261,143.3897919,144.184383,46397700
06/08/2021,143.5751343,144.5281113,143.0740906,143.7814552,54126800
09/08/2021,143.5260162,144.1253109,142.9660279,143.6340863,48908700
10/08/2021,143.044632,145.1176007,142.7498942,143.8698858,69023100
11/08/2021,143.3000641,144.1449711,142.975854,143.4867319,48493500
12/08/2021,146.276886,146.4340815,143.2804124,143.6242757,72282600
13/08/2021,146.4832001,146.8172292,145.6677653,146.3554769,59375000
16/08/2021,148.4677734,148.5365521,143.899389,145.9330518,103296000
17/08/2021,147.5540771,149.0179172,146.4733768,147.5933685,92229700
18/08/2021,143.7913208,148.0748016,143.5849998,147.1709497,86326000
19/08/2021,144.1253052,145.4024922,141.9639198,142.4846167,86960300
20/08/2021,145.5892029,145.8937598,144.2039454,144.8523657,60549600
23/08/2021,147.0825043,147.5540758,145.2944392,145.7070661,60131800
24/08/2021,146.9940948,148.2123377,146.5323424,146.8270802,48606400
25/08/2021,145.7561951,147.6818025,145.2060258,147.1807437,58991300
26/08/2021,144.950592,146.502864,144.9211198,145.7463887,48597200
27/08/2021,145.9919739,146.1393353,144.2530344,144.8916205,55802400
30/08/2021,150.4326477,150.7961642,146.0018063,146.384961,90956700
31/08/2021,149.1652985,150.1182756,148.6347674,149.9807333,86453100
01/09/2021,149.8333435,152.2599946,149.6663289,150.1477345,80313700
02/09/2021,150.9533691,152.0045974,149.7253072,151.1695092,71115500
03/09/2021,151.5919647,151.9161749,150.4031942,151.0614336,57808700
07/09/2021,153.9400482,154.5000368,151.6804109,152.2502335,82278300
08/09/2021,152.3877411,154.2838614,151.2775684,154.2249168,74420200
09/09/2021,151.3659821,153.3701722,151.2480779,152.7610584,57305700
10/09/2021,146.3554993,152.7512399,146.0902337,152.2796684,140893200
13/09/2021,146.9253235,148.7624992,146.1393609,147.9863707,102404300
14/09/2021,145.5204163,148.4186543,144.3316608,147.7112895,109296300
15/09/2021,146.414444,146.8172519,143.8011248,145.9526915,83281300
16/09/2021,146.1786346,146.3554833,144.6361969,145.8347864,68034100
17/09/2021,143.4965668,146.2081369,143.2018289,146.2081369,129868800
20/09/2021,140.4313049,142.2979526,138.7906164,141.2762119,123478900
21/09/2021,140.9126892,142.062168,140.2741032,141.4039138,75834000
22/09/2021,143.2902527,143.8600602,141.1779775,141.9148145,76404300
23/09/2021,144.2530518,144.4986641,143.0839345,144.0762031,64838200
24/09/2021,144.3414612,144.8818113,143.0053294,143.1035804,53477900
27/09/2021,142.8186646,143.3983211,141.29588,142.9169155,74150700
28/09/2021,139.4194031,142.2095559,139.203263,140.7358817,108972300
29/09/2021,140.3232422,141.9148053,139.5372797,139.9695598,74602000
30/09/2021,139.016571,141.8460297,138.800431,141.1386651,89056700
01/10/2021,140.1464081,140.4116736,136.6685436,139.409571,94639600
04/10/2021,136.6980133,139.7141403,135.8432871,139.272026,98322000
05/10/2021,138.6334686,139.7436415,136.9141818,137.041905,80861100
06/10/2021,139.5078278,139.6551892,135.9415313,137.0222317,83221100
07/10/2021,140.7751923,141.6888782,140.2152038,140.5492331,61732700
08/10/2021,140.3920441,141.6495784,140.0580148,141.5022169,58773200
11/10/2021,140.3036041,142.268503,139.3211547,139.773088,64452200
12/10/2021,139.0263824,140.7358495,138.5646301,140.7161963,73035900
13/10/2021,138.4369354,138.918326,136.7569405,138.7611455,78762700
14/10/2021,141.2369385,141.3548426,139.026427,139.6159028,69907100
15/10/2021,142.2979736,142.3569182,140.9913141,141.2467605,67940300
18/10/2021,143.9779816,144.2628853,140.6474783,140.932382,85589200
19/10/2021,146.1491699,146.5519778,143.9779651,144.4298834,76378900
20/10/2021,146.6403809,147.1217864,145.5203892,146.0902116,58418800
21/10/2021,146.8565216,147.0137171,145.2747776,146.1982824,61421000
22/10/2021,146.0803986,147.5442385,146.0312731,147.0628479,58883400
25/10/2021,146.03125,146.7484337,145.0291476,146.0705414,50720600
26/10/2021,146.6993713,148.1926838,146.3947994,146.7091904,60893400
27/10/2021,146.2375946,147.1021399,145.8839122,146.7386384,56094900
28/10/2021,149.8922729,150.4817334,147.0922869,147.1905378,100077900
29/10/2021,147.1709442,147.3084865,143.8404409,144.6362226,124953200
01/11/2021,146.3456879,147.0726909,145.2060428,146.3751602,74588300
02/11/2021,147.387085,148.9098848,146.0411189,146.050953,69122000
03/11/2021,148.8312683,149.3028398,147.1905796,147.750568,54511500
04/11/2021,148.3105621,149.7547489,147.9961711,148.9196759,60394600
05/11/2021,148.8418579,149.7470287,147.6415191,149.4420273,65463900
